,pID,age,group_size,group,has_travelled,has_preexisting_condition,number_of_flags,seat,offset_order,offset_x,offset_y,offset_method
0,2f825a96-06b3-487d-b844-b6aa52d34a41,55,7,"[UUID('b4774359-4025-4a59-b1c7-88b3a3b16d0b'), UUID('d6d510be-3a51-4307-8b0e-1ad13a962ef5'), UUID('2f825a96-06b3-487d-b844-b6aa52d34a41'), UUID('2a718f21-528b-4584-a37a-48b3a6e3eab5'), UUID('661940ad-d357-4087-8670-875b4017d548'), UUID('632508fd-d782-4054-af6c-0c85eacde7ed'), UUID('b4f42d76-be50-45d6-927c-10926f0fe823')]",False,True,1,83C,2,1,1,full_block
1,5a892e42-aea0-44e6-85cc-3bd1f885fa7f,52,7,"[UUID('2740ded5-1d16-48e6-9903-04fcdc8966a1'), UUID('779ab3b4-5586-4075-aaf7-640ddd0eab48'), UUID('5a892e42-aea0-44e6-85cc-3bd1f885fa7f'), UUID('b82016c5-45d3-4c46-8853-aeabcaaf1843'), UUID('9b30b629-9a82-4bd6-a4bd-4ce5d02571aa'), UUID('887df6b0-99c5-4dd5-9c4c-4a3f6ff9a30a'), UUID('cbcb90f6-d70f-48d1-b28e-64775a7c9eba')]",False,False,0,80C,5,0,0,cardinal_only
2,2740ded5-1d16-48e6-9903-04fcdc8966a1,45,7,"[UUID('2740ded5-1d16-48e6-9903-04fcdc8966a1'), UUID('779ab3b4-5586-4075-aaf7-640ddd0eab48'), UUID('5a892e42-aea0-44e6-85cc-3bd1f885fa7f'), UUID('b82016c5-45d3-4c46-8853-aeabcaaf1843'), UUID('9b30b629-9a82-4bd6-a4bd-4ce5d02571aa'), UUID('887df6b0-99c5-4dd5-9c4c-4a3f6ff9a30a'), UUID('cbcb90f6-d70f-48d1-b28e-64775a7c9eba')]",False,False,0,79A,5,0,0,cardinal_only
3,661940ad-d357-4087-8670-875b4017d548,38,7,"[UUID('b4774359-4025-4a59-b1c7-88b3a3b16d0b'), UUID('d6d510be-3a51-4307-8b0e-1ad13a962ef5'), UUID('2f825a96-06b3-487d-b844-b6aa52d34a41'), UUID('2a718f21-528b-4584-a37a-48b3a6e3eab5'), UUID('661940ad-d357-4087-8670-875b4017d548'), UUID('632508fd-d782-4054-af6c-0c85eacde7ed'), UUID('b4f42d76-be50-45d6-927c-10926f0fe823')]",False,True,1,82A,2,1,1,full_block
4,b82016c5-45d3-4c46-8853-aeabcaaf1843,38,7,"[UUID('2740ded5-1d16-48e6-9903-04fcdc8966a1'), UUID('779ab3b4-5586-4075-aaf7-640ddd0eab48'), UUID('5a892e42-aea0-44e6-85cc-3bd1f885fa7f'), UUID('b82016c5-45d3-4c46-8853-aeabcaaf1843'), UUID('9b30b629-9a82-4bd6-a4bd-4ce5d02571aa'), UUID('887df6b0-99c5-4dd5-9c4c-4a3f6ff9a30a'), UUID('cbcb90f6-d70f-48d1-b28e-64775a7c9eba')]",False,False,0,79B,5,0,0,cardinal_only
5,887df6b0-99c5-4dd5-9c4c-4a3f6ff9a30a,37,7,"[UUID('2740ded5-1d16-48e6-9903-04fcdc8966a1'), UUID('779ab3b4-5586-4075-aaf7-640ddd0eab48'), UUID('5a892e42-aea0-44e6-85cc-3bd1f885fa7f'), UUID('b82016c5-45d3-4c46-8853-aeabcaaf1843'), UUID('9b30b629-9a82-4bd6-a4bd-4ce5d02571aa'), UUID('887df6b0-99c5-4dd5-9c4c-4a3f6ff9a30a'), UUID('cbcb90f6-d70f-48d1-b28e-64775a7c9eba')]",False,False,0,79C,5,0,0,cardinal_only
6,cbcb90f6-d70f-48d1-b28e-64775a7c9eba,36,7,"[UUID('2740ded5-1d16-48e6-9903-04fcdc8966a1'), UUID('779ab3b4-5586-4075-aaf7-640ddd0eab48'), UUID('5a892e42-aea0-44e6-85cc-3bd1f885fa7f'), UUID('b82016c5-45d3-4c46-8853-aeabcaaf1843'), UUID('9b30b629-9a82-4bd6-a4bd-4ce5d02571aa'), UUID('887df6b0-99c5-4dd5-9c4c-4a3f6ff9a30a'), UUID('cbcb90f6-d70f-48d1-b28e-64775a7c9eba')]",False,False,0,78A,5,0,0,cardinal_only
7,d6d510be-3a51-4307-8b0e-1ad13a962ef5,31,7,"[UUID('b4774359-4025-4a59-b1c7-88b3a3b16d0b'), UUID('d6d510be-3a51-4307-8b0e-1ad13a962ef5'), UUID('2f825a96-06b3-487d-b844-b6aa52d34a41'), UUID('2a718f21-528b-4584-a37a-48b3a6e3eab5'), UUID('661940ad-d357-4087-8670-875b4017d548'), UUID('632508fd-d782-4054-af6c-0c85eacde7ed'), UUID('b4f42d76-be50-45d6-927c-10926f0fe823')]",False,True,1,82B,2,1,1,full_block
8,779ab3b4-5586-4075-aaf7-640ddd0eab48,31,7,"[UUID('2740ded5-1d16-48e6-9903-04fcdc8966a1'), UUID('779ab3b4-5586-4075-aaf7-640ddd0eab48'), UUID('5a892e42-aea0-44e6-85cc-3bd1f885fa7f'), UUID('b82016c5-45d3-4c46-8853-aeabcaaf1843'), UUID('9b30b629-9a82-4bd6-a4bd-4ce5d02571aa'), UUID('887df6b0-99c5-4dd5-9c4c-4a3f6ff9a30a'), UUID('cbcb90f6-d70f-48d1-b28e-64775a7c9eba')]",True,False,1,80A,5,0,0,cardinal_only
9,2a718f21-528b-4584-a37a-48b3a6e3eab5,30,7,"[UUID('b4774359-4025-4a59-b1c7-88b3a3b16d0b'), UUID('d6d510be-3a51-4307-8b0e-1ad13a962ef5'), UUID('2f825a96-06b3-487d-b844-b6aa52d34a41'), UUID('2a718f21-528b-4584-a37a-48b3a6e3eab5'), UUID('661940ad-d357-4087-8670-875b4017d548'), UUID('632508fd-d782-4054-af6c-0c85eacde7ed'), UUID('b4f42d76-be50-45d6-927c-10926f0fe823')]",False,False,0,82C,5,0,0,cardinal_only
10,632508fd-d782-4054-af6c-0c85eacde7ed,30,7,"[UUID('b4774359-4025-4a59-b1c7-88b3a3b16d0b'), UUID('d6d510be-3a51-4307-8b0e-1ad13a962ef5'), UUID('2f825a96-06b3-487d-b844-b6aa52d34a41'), UUID('2a718f21-528b-4584-a37a-48b3a6e3eab5'), UUID('661940ad-d357-4087-8670-875b4017d548'), UUID('632508fd-d782-4054-af6c-0c85eacde7ed'), UUID('b4f42d76-be50-45d6-927c-10926f0fe823')]",True,True,2,83A,2,1,1,full_block
11,b4f42d76-be50-45d6-927c-10926f0fe823,24,7,"[UUID('b4774359-4025-4a59-b1c7-88b3a3b16d0b'), UUID('d6d510be-3a51-4307-8b0e-1ad13a962ef5'), UUID('2f825a96-06b3-487d-b844-b6aa52d34a41'), UUID('2a718f21-528b-4584-a37a-48b3a6e3eab5'), UUID('661940ad-d357-4087-8670-875b4017d548'), UUID('632508fd-d782-4054-af6c-0c85eacde7ed'), UUID('b4f42d76-be50-45d6-927c-10926f0fe823')]",False,False,0,81A,5,0,0,cardinal_only
12,b4774359-4025-4a59-b1c7-88b3a3b16d0b,21,7,"[UUID('b4774359-4025-4a59-b1c7-88b3a3b16d0b'), UUID('d6d510be-3a51-4307-8b0e-1ad13a962ef5'), UUID('2f825a96-06b3-487d-b844-b6aa52d34a41'), UUID('2a718f21-528b-4584-a37a-48b3a6e3eab5'), UUID('661940ad-d357-4087-8670-875b4017d548'), UUID('632508fd-d782-4054-af6c-0c85eacde7ed'), UUID('b4f42d76-be50-45d6-927c-10926f0fe823')]",True,True,2,83B,2,1,1,full_block
13,9b30b629-9a82-4bd6-a4bd-4ce5d02571aa,19,7,"[UUID('2740ded5-1d16-48e6-9903-04fcdc8966a1'), UUID('779ab3b4-5586-4075-aaf7-640ddd0eab48'), UUID('5a892e42-aea0-44e6-85cc-3bd1f885fa7f'), UUID('b82016c5-45d3-4c46-8853-aeabcaaf1843'), UUID('9b30b629-9a82-4bd6-a4bd-4ce5d02571aa'), UUID('887df6b0-99c5-4dd5-9c4c-4a3f6ff9a30a'), UUID('cbcb90f6-d70f-48d1-b28e-64775a7c9eba')]",True,False,1,80B,5,0,0,cardinal_only
